daySent,dayEffective,campaignId,ucsBid,campaignBid,won,winner,cost,actualBid,effectiveBid
"9","11","625051713","0.01","1098","false","null","0.00","0.00","0.00"
"3","5","2061216999","0.10","7252","false","null","0.00","0.00","0.00"
"2","4","65477121","0.10","11884","false","null","0.00","0.00","0.00"
"7","9","1187313365","0.01","785","false","null","0.00","0.00","0.00"
"5","7","40021681","0.01","1908","false","null","0.00","0.00","0.00"
"1","3","1683289195","0.10","10480","false","null","0.00","0.00","0.00"
"8","10","680466584","0.01","805","false","null","0.00","0.00","0.00"
"0","2","402481190","0.10","1482","false","null","0.00","0.00","0.00"
"4","6","588224913","0.12","11222","false","null","0.00","0.00","0.00"
"6","8","1735459781","0.01","2229","false","null","0.00","0.00","0.00"
